_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65b461fb11c8b786c0e9c602|true|79.36|94.85|83.47|78.78|251,2,2,0|words|50|-1|3|37.95|0|8.27|false|false|english|none|normal|false|false|false||1706320379000
65b461c411c8b786c0e9c47e||71.96|91.97|83.74|69.99|116,6,0,1|words|25|-1|0|19.35|0|0|false|false|english|none|normal|false|false|false||1706320324000
65b461ae11c8b786c0e9c3e9||81.6|94.53|87.82|76.15|118,4,1,0|words|25|-1|0|17.35|0|0|false|false|english|none|normal|false|false|false||1706320302000
65b4619b11c8b786c0e9c37a||89.31|98.48|89.31|69.85|129,0,0,0|words|25|-1|5|17.33|0|8.73|false|false|english|none|normal|false|false|false||1706320283000
65b4617711c8b786c0e9c295||97.74|100|97.74|78.64|130,0,0,0|words|25|-1|4|15.96|0|10.98|false|false|english|none|normal|false|false|false||1706320247000
65b4614e11c8b786c0e9c19b|true|98.02|99.21|98.02|77.61|125,0,0,0|words|25|-1|0|15.3|0|0|false|false|english|none|normal|false|false|false||1706320206000
65b451ab11c8b786c0e960e1||102.8|100|102.8|90.24|51,0,0,0|words|10|-1|0|5.95|0|0|false|false|english|none|normal|false|false|false||1706316203000
65b451a211c8b786c0e960b6||103.25|100|103.25|87.26|51,0,0,0|words|10|-1|4|5.93|0|17.41|false|false|english|none|normal|false|false|false||1706316194000
65b4518311c8b786c0e96004||102.28|100|102.28|84.47|50,0,0,0|words|10|-1|0|5.87|0|0|false|false|english|none|normal|false|false|false||1706316163000
65b3911711c8b786c0e064fc||99.53|100|99.53|71.98|44,0,0,0|words|10|-1|2|5.31|0|6.03|false|false|english|none|normal|false|false|false||1706266903000
65b3910711c8b786c0e06469||83.33|98.15|83.33|85.31|53,0,0,0|words|10|-1|0|7.63|0|0|false|false|english|none|normal|false|false|false||1706266887000
65b390fc11c8b786c0e06401||81.32|100|81.32|85|51,0,0,0|words|10|-1|0|7.53|0|0|false|false|english|none|normal|false|false|false||1706266876000
65b390f311c8b786c0e063b3||73.04|98.44|73.04|62.78|63,0,0,0|words|10|-1|0|10.35|0|0|false|false|english|none|normal|false|false|false||1706266867000
65b390e711c8b786c0e06342||72.11|97.96|72.11|73.41|47,0,0,0|words|10|-1|0|7.82|0|0|false|false|english|none|normal|false|false|false||1706266855000
65b390de11c8b786c0e062e7||87.64|100|87.64|83.81|50,0,0,0|words|10|-1|0|6.85|0|0|false|false|english|none|normal|false|false|false||1706266846000
65b390d111c8b786c0e0626c||102.87|100|102.87|91.39|48,0,0,0|words|10|-1|0|5.6|0|0|false|false|english|none|normal|false|false|false||1706266833000
65b390ca11c8b786c0e06224||65.84|92.31|65.84|65.81|48,0,0,0|words|10|-1|2|8.75|0|3.92|false|false|english|none|normal|false|false|false||1706266826000
65b390b911c8b786c0e06187||89.37|97.96|89.37|74.68|48,0,0,0|words|10|-1|0|6.44|0|0|false|false|english|none|normal|false|false|false||1706266809000
65b34eb911c8b786c0de1374||102.01|100|102.01|84.15|55,0,0,0|words|10|-1|4|6.47|0|11.72|false|false|english|none|normal|false|false|false||1706249913000
65b34ea011c8b786c0de129e||86.11|100|86.11|76.43|55,0,0,0|words|10|-1|0|7.66|0|0|false|false|english|none|normal|false|false|false||1706249888000
65b34e9611c8b786c0de124d||91.23|100|91.23|63.91|54,0,0,0|words|10|-1|0|7.1|0|0|false|false|english|none|normal|false|false|false||1706249878000
65b34e8d11c8b786c0de120e||93.88|100|93.88|84.05|51,0,0,0|words|10|-1|3|6.52|0|4.71|false|false|english|none|normal|false|false|false||1706249869000
65b34e7d11c8b786c0de118c||81.15|94.64|81.15|80.07|53,0,0,0|words|10|-1|1|7.84|0|3.52|false|false|english|none|normal|false|false|false||1706249853000
65b34e6d11c8b786c0de1107||83.86|100|83.86|62.3|56,0,0,0|words|10|-1|0|8.01|0|0|false|false|english|none|normal|false|false|false||1706249837000
65b34e6411c8b786c0de10c4||84.62|96.08|84.62|78.06|49,0,0,0|words|10|-1|0|6.95|0|0|false|false|english|none|normal|false|false|false||1706249828000
65b34e5b11c8b786c0de1071||78.77|94.64|95.89|63.59|46,1,1,0|words|10|-1|0|7.01|0|0|false|false|english|none|normal|false|false|false||1706249819000
65b34e5311c8b786c0de102c||66.53|94.23|69.3|58.77|48,0,0,3|words|10|-1|2|8.66|1|6.09|false|false|english|none|normal|false|false|false||1706249811000
65b34e4111c8b786c0de0f96||93.2|100|93.2|62.07|47,0,0,0|words|10|-1|0|6.05|0|0|false|false|english|none|normal|false|false|false||1706249793000
65b34e3911c8b786c0de0f57||89.88|100|89.88|76.06|48,0,0,0|words|10|-1|0|6.41|0|0|false|false|english|none|normal|false|false|false||1706249785000
65b32e7311c8b786c0dd13da||103.07|100|103.07|94.8|49,0,0,0|words|10|-1|0|5.7|0|0|false|false|english|none|normal|false|false|false||1706241651000
65b32e6c11c8b786c0dd13ad||90.46|96.36|90.46|61.24|53,0,0,0|words|10|-1|2|7.03|0|3.87|false|false|english|none|normal|false|false|false||1706241644000
65b32e5d11c8b786c0dd1332||97.83|100|97.83|91.59|48,0,0,0|words|10|-1|5|5.89|0|12.28|false|false|english|none|normal|false|false|false||1706241629000
65b32e4211c8b786c0dd1271||91.94|97.96|91.94|66.72|48,0,0,0|words|10|-1|3|6.27|0|5.21|false|false|english|none|normal|false|false|false||1706241602000
